Company;Ticker;key;figi
Газпром;GAZP;6HBWJD0YHR86ML3N;BBG004730RP0
Лукойл;LKOH;TBG8FLKO9SCOVPLA;BBG004731032
Роснефть;ROSN;6XJMZ7F8Q8JFKS2P;BBG004731354
Татнефть;TATN;PGWY5YWR7HSXJ7QD;BBG004RVFFC0
Новатэк;NVTK;W773B5RIDXQY7ZIT;BBG00475KKY8
Сургутнефтегаз;SNGS;4OQDM20ZPVP5FZ4N;BBG0047315D0
Башнефть;BANE;WT17ZZWI7PBMCUHJ;BBG004S68758
Норникель;GMKN;HQU2KGKYQ590HPP1;BBG004731489
Северсталь;CHMF;HZWAHA9GVSBQLAN1;BBG00475K6C3
ММК;MAGN;5ZVHU6D4RJMZ3VB5;BBG004S68507
АЛРОСА;ALRS;GCV18H89FJPTT379;BBG004S68B31
Полюс;PLZL;FXY9DOABEGPU9KLI;BBG000R607Y3
Распадская;RASP;JUMWU1X7N17MQD0K;BBG004S68696
Мечел;MTLR;RF546NW5VHLH06CG;BBG004S68598
Сбербанк;SBER;6SHUT8ZQG1OR59PZ;BBG004730N88
ВТБ;VTBR;R4FTCTC3XLQOMVG9;BBG004730ZJ9
Тинькофф;TCSG;2YMZWUQO2LLD0I4S;TCS00A107UL4
Московская Биржа;MOEX;SG1ENG3QBCNB5RN5;BBG004730JJ5
Магнит;MGNT;3XNVRTZ0K6U9C1SW;BBG004RVFCY3
Х5 Ритейл Групп;FIVE;7BM9P5KOWFXUGEIG
Детский мир;DSKY;MMCWJFB5UYVDU998;TCS000BN56Q9
Яндекс;YNDX;EJLUX5DEZSGXJ5HV;BBG006L8G4H1
Ozon;OZON;LO4BG2S9MOFY2VZM;BBG00Y91R9T3
Ростелеком;RTKM;RLUF2RS9PHZBV9WO;BBG004S682Z6
МТС;MTSS;8LYUK2D65VVYT9DT;BBG004S681W1
Система;AFKS;EPD5102ADPPRT8ER;BBG004S68614
ФосАгро;PHOR;9ZE5L67JT49JB311;BBG004S689R0
НЛМК;NLMK;M5RB28S2NB6GDZXE;BBG004S681B4
ТМК;TRMK;CLPBHX3KJOZHAUK9;BBG004TC84Z8
Интер РАО;IRAO;8I2PWRH0NKGE7LGW;BBG004S68473
Аэрофлот;AFLT;27TEFG6J0P4QK2NC;BBG004S683W7
Транснефть;TRNFP;IFFFP2OAI9O6RIPL;BBG00475KHX6
Совкомфлот;FLOT;4ST6J02OBB2TCSUP;BBG000R04X57
Яндекс;YNDX;KUMHJ52ZUDXU0GBG;BBG006L8G4H1
Мосэнерго;MSNG;K3VDACD9AXCAPLWE;BBG004S687W8